COMM,Source,Destination,TotValue
wht,moz,aus,8.02E-09
gro,moz,aus,1.02E-06
osd,moz,aus,1.80E-07
pdr,rwa,aus,0.006658638
wht,rwa,aus,0.000434713
gro,rwa,aus,0.017722104
osd,rwa,aus,0.010323624
pdr,sdn,aus,2.02E-06
wht,sdn,aus,0.000390184
gro,sdn,aus,0.005278082
osd,sdn,aus,0.003432798
pdr,tza,aus,9.93E-07
wht,tza,aus,1.41E-07
gro,tza,aus,3.63E-06
osd,tza,aus,3.92E-06
pdr,uga,aus,0.000114066
wht,uga,aus,1.63E-05
gro,uga,aus,0.000409981
osd,uga,aus,0.000843273
pdr,zmb,aus,2.57E-06
wht,zmb,aus,8.52E-05
gro,zmb,aus,0.006121305
osd,zmb,aus,0.002477161
pdr,zwe,aus,6.94E-07
wht,zwe,aus,0.000218239
gro,zwe,aus,0.004314719
osd,zwe,aus,0.001078757
pdr,xec,aus,0.000514912
wht,xec,aus,0.00013163
gro,xec,aus,0.006799261
osd,xec,aus,0.00177121
pdr,bwa,aus,4.18E-09
wht,bwa,aus,2.60E-07
gro,bwa,aus,4.58E-06
osd,bwa,aus,3.72E-08
pdr,swz,aus,1.61E-09
wht,swz,aus,7.25E-09
gro,swz,aus,4.80E-07
osd,swz,aus,1.87E-10
pdr,nam,aus,1.65E-08
wht,nam,aus,1.32E-06
gro,nam,aus,2.80E-05
osd,nam,aus,3.35E-08
pdr,zaf,aus,8.60E-06
wht,zaf,aus,0.001836944
gro,zaf,aus,0.131021678
osd,zaf,aus,0.010935091
pdr,xsc,aus,6.97E-11
wht,xsc,aus,3.14E-10
gro,xsc,aus,2.08E-08
osd,xsc,aus,8.10E-12
pdr,xtw,aus,1.43E-09
wht,xtw,aus,1.24E-07
gro,xtw,aus,2.94E-07
osd,xtw,aus,9.31E-09
pdr,aus,nzl,0.000141751
wht,aus,nzl,142.5202026
gro,aus,nzl,18.2497673
osd,aus,nzl,10.27938175
pdr,nzl,nzl,2.945331616
wht,nzl,nzl,122.7519753
gro,nzl,nzl,146.477658
osd,nzl,nzl,6.041480823
pdr,xoc,nzl,9.62E-06
wht,xoc,nzl,0.000651428
gro,xoc,nzl,0.001997362
osd,xoc,nzl,0.002057462
pdr,chn,nzl,0.035752211
wht,chn,nzl,0.010169414
gro,chn,nzl,0.059009884
osd,chn,nzl,1.564612508
pdr,hkg,nzl,3.76E-06
wht,hkg,nzl,9.68E-05
gro,hkg,nzl,5.01E-05
osd,hkg,nzl,2.00E-06
pdr,jpn,nzl,1.49E-05
wht,jpn,nzl,0.000122051
gro,jpn,nzl,0.000778205
osd,jpn,nzl,0.100949526
pdr,kor,nzl,2.04E-05
wht,kor,nzl,0.000190777
gro,kor,nzl,0.000124273
osd,kor,nzl,0.003410253
pdr,mng,nzl,4.06E-09
wht,mng,nzl,5.82E-07
gro,mng,nzl,2.66E-07
osd,mng,nzl,2.51E-09
pdr,twn,nzl,6.21E-07
wht,twn,nzl,3.12E-05
gro,twn,nzl,0.003435654
osd,twn,nzl,0.021304062
pdr,xea,nzl,1.82E-06
wht,xea,nzl,6.04E-05
gro,xea,nzl,3.02E-05
osd,xea,nzl,9.76E-07
pdr,brn,nzl,5.54E-08
wht,brn,nzl,2.94E-07
gro,brn,nzl,1.41E-07
osd,brn,nzl,5.45E-08
pdr,khm,nzl,0.003625109
wht,khm,nzl,3.67E-05
gro,khm,nzl,0.000686419
osd,khm,nzl,0.002506368
pdr,idn,nzl,0.000324787
wht,idn,nzl,0.000403014
gro,idn,nzl,0.025723729
osd,idn,nzl,0.007668115
pdr,lao,nzl,4.64E-08
wht,lao,nzl,6.85E-11
gro,lao,nzl,1.11E-08
osd,lao,nzl,3.29E-10
pdr,mys,nzl,5.64E-06
wht,mys,nzl,5.77E-05
gro,mys,nzl,3.64E-05
osd,mys,nzl,0.011895549
pdr,phl,nzl,6.05E-05
wht,phl,nzl,4.93E-06
gro,phl,nzl,4.07E-05
osd,phl,nzl,0.013753201
pdr,sgp,nzl,3.76E-06
wht,sgp,nzl,0.000200049
gro,sgp,nzl,0.00010135
osd,sgp,nzl,1.44E-05
pdr,tha,nzl,1.61E-05
wht,tha,nzl,0.000114891
gro,tha,nzl,0.009417955
osd,tha,nzl,0.030154837
pdr,vnm,nzl,0.001818669
wht,vnm,nzl,9.49E-05
gro,vnm,nzl,0.024144884
osd,vnm,nzl,0.001362706
pdr,xse,nzl,0.001844982
wht,xse,nzl,1.87E-05
gro,xse,nzl,0.000349349
osd,xse,nzl,0.001275604
pdr,afg,nzl,7.28E-07
wht,afg,nzl,0.000950184
gro,afg,nzl,0.000330989
osd,afg,nzl,1.29E-06
pdr,bgd,nzl,3.17E-13
wht,bgd,nzl,2.63E-11
gro,bgd,nzl,6.32E-11
osd,bgd,nzl,1.46E-10
pdr,ind,nzl,0.053971995
wht,ind,nzl,0.070116527
gro,ind,nzl,0.212226331
osd,ind,nzl,1.211283445
pdr,npl,nzl,1.94E-06
wht,npl,nzl,1.78E-06
gro,npl,nzl,2.56E-06
osd,npl,nzl,7.49E-07
pdr,pak,nzl,5.83E-07
wht,pak,nzl,9.37E-06
gro,pak,nzl,4.28E-06
osd,pak,nzl,0.001912434
pdr,lka,nzl,1.20E-09
wht,lka,nzl,1.38E-10
gro,lka,nzl,5.44E-10
osd,lka,nzl,2.17E-08
pdr,xsa,nzl,3.18E-07
wht,xsa,nzl,1.82E-06
gro,xsa,nzl,5.74E-07
osd,xsa,nzl,1.40E-06
pdr,can,nzl,4.06E-06
wht,can,nzl,0.000830069
gro,can,nzl,0.037551381
osd,can,nzl,0.869216621
pdr,usa,nzl,6.68E-05
wht,usa,nzl,0.004225994
gro,usa,nzl,1.162760258
osd,usa,nzl,0.052179761
pdr,mex,nzl,2.30E-07
wht,mex,nzl,2.93E-05
gro,mex,nzl,0.000200734
osd,mex,nzl,1.76E-06
pdr,xna,nzl,2.41E-07
wht,xna,nzl,2.17E-05
gro,xna,nzl,1.50E-05
osd,xna,nzl,4.23E-06
pdr,arg,nzl,2.25E-06
wht,arg,nzl,8.224633217
gro,arg,nzl,0.033829886
osd,arg,nzl,1.413828731
pdr,bol,nzl,7.49E-07
wht,bol,nzl,9.08E-05
gro,bol,nzl,0.140313029
osd,bol,nzl,0.052872717
pdr,bra,nzl,3.53E-05
wht,bra,nzl,6.32E-05
gro,bra,nzl,0.012992143
osd,bra,nzl,0.141016185
pdr,chl,nzl,5.03E-07
wht,chl,nzl,4.26E-05
gro,chl,nzl,0.007327884
osd,chl,nzl,0.047414508
pdr,col,nzl,2.25E-10
wht,col,nzl,1.59E-10
gro,col,nzl,1.44E-09
osd,col,nzl,8.66E-11
pdr,ecu,nzl,1.10E-06
wht,ecu,nzl,2.07E-05
gro,ecu,nzl,0.000471065
osd,ecu,nzl,7.30E-06
pdr,pry,nzl,3.80E-13
wht,pry,nzl,1.03E-10
gro,pry,nzl,3.48E-10
osd,pry,nzl,0.168332994
pdr,per,nzl,2.16E-11
wht,per,nzl,1.01E-09
gro,per,nzl,0.855251014
osd,per,nzl,0.121855997
pdr,ury,nzl,3.40E-07
wht,ury,nzl,3.69E-05
gro,ury,nzl,1.60E-05
osd,ury,nzl,3.98E-06
pdr,ven,nzl,1.12E-09
wht,ven,nzl,3.65E-07
gro,ven,nzl,6.83E-07
osd,ven,nzl,3.90E-08
pdr,xsm,nzl,5.51E-08
wht,xsm,nzl,3.21E-06
gro,xsm,nzl,1.43E-05
osd,xsm,nzl,4.88E-07
pdr,cri,nzl,2.35E-06
wht,cri,nzl,4.67E-05
gro,cri,nzl,2.65E-05
osd,cri,nzl,1.34E-05
pdr,gtm,nzl,6.67E-07
wht,gtm,nzl,4.40E-05
gro,gtm,nzl,0.002790287
osd,gtm,nzl,0.000674851
pdr,hnd,nzl,1.09E-05
wht,hnd,nzl,1.19E-05
gro,hnd,nzl,0.001007857
osd,hnd,nzl,1.50E-06
pdr,nic,nzl,8.67E-07
wht,nic,nzl,8.80E-07
gro,nic,nzl,7.20E-05
osd,nic,nzl,5.04E-07
pdr,pan,nzl,1.84E-07
wht,pan,nzl,3.46E-06
gro,pan,nzl,1.30E-05
osd,pan,nzl,3.88E-07
pdr,slv,nzl,3.04E-08
wht,slv,nzl,1.89E-06
gro,slv,nzl,0.000133724
osd,slv,nzl,2.35E-06
pdr,xca,nzl,2.72E-08
wht,xca,nzl,1.79E-06
gro,xca,nzl,0.000113801
osd,xca,nzl,2.75E-05
pdr,dom,nzl,6.55E-08
wht,dom,nzl,2.48E-06
gro,dom,nzl,2.98E-06
osd,dom,nzl,1.06E-05
pdr,hti,nzl,3.03E-12
wht,hti,nzl,3.80E-11
gro,hti,nzl,2.55E-09
osd,hti,nzl,6.58E-12
pdr,jam,nzl,5.32E-12
wht,jam,nzl,2.86E-10
gro,jam,nzl,6.47E-09
osd,jam,nzl,7.74E-10
pdr,pri,nzl,1.25E-07
wht,pri,nzl,1.27E-05
gro,pri,nzl,0.006159747
osd,pri,nzl,4.43E-07
pdr,tto,nzl,1.19E-08
wht,tto,nzl,1.61E-06
gro,tto,nzl,1.41E-06
osd,tto,nzl,1.02E-06
pdr,xcb,nzl,3.05E-06
